,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri.1,track_href,analysis_url,duration_ms.1,time_signature,cluster
0,Heat Waves,Tunes of the Summer,Glass Animals,238805,spotify:track:5wdzXMLwhcYD8YVZibN4ih,https://api.spotify.com/v1/tracks/5wdzXMLwhcYD8YVZibN4ih,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,5wdzXMLwhcYD8YVZibN4ih,spotify:track:5wdzXMLwhcYD8YVZibN4ih,https://api.spotify.com/v1/tracks/5wdzXMLwhcYD8YVZibN4ih,https://api.spotify.com/v1/audio-analysis/5wdzXMLwhcYD8YVZibN4ih,238805,4,0
1,All You Had To Do Was Stay,1989,Taylor Swift,193293,spotify:track:0dAb8TY433dl3ZfXYCLE19,https://api.spotify.com/v1/tracks/0dAb8TY433dl3ZfXYCLE19,0.602,0.736,5,-5.778,1,0.0338,0.00196,4.57e-05,0.105,0.471,96.969,audio_features,0dAb8TY433dl3ZfXYCLE19,spotify:track:0dAb8TY433dl3ZfXYCLE19,https://api.spotify.com/v1/tracks/0dAb8TY433dl3ZfXYCLE19,https://api.spotify.com/v1/audio-analysis/0dAb8TY433dl3ZfXYCLE19,193293,4,0
2,Super Gremlin,Super Gremlin - 20s HipHop,Kodak Black,200547,spotify:track:6ZHkPseDytPv1xu3MhtR2m,https://api.spotify.com/v1/tracks/6ZHkPseDytPv1xu3MhtR2m,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,audio_features,6ZHkPseDytPv1xu3MhtR2m,spotify:track:6ZHkPseDytPv1xu3MhtR2m,https://api.spotify.com/v1/tracks/6ZHkPseDytPv1xu3MhtR2m,https://api.spotify.com/v1/audio-analysis/6ZHkPseDytPv1xu3MhtR2m,200548,4,0
3,abcdefu (Drill Remix),Greatest Drill Remix Hits,Drill Remix Guys,167541,spotify:track:5RiSr5eK0EpNZhynpC2abr,https://api.spotify.com/v1/tracks/5RiSr5eK0EpNZhynpC2abr,0.762,0.645,4,-2.831,1,0.034,0.0939,4.67e-06,0.216,0.25,121.943,audio_features,5RiSr5eK0EpNZhynpC2abr,spotify:track:5RiSr5eK0EpNZhynpC2abr,https://api.spotify.com/v1/tracks/5RiSr5eK0EpNZhynpC2abr,https://api.spotify.com/v1/audio-analysis/5RiSr5eK0EpNZhynpC2abr,167542,4,0
4,"We Don't Talk About Bruno (From ""Encanto"")","We Don't Talk About Bruno (From ""Encanto"")",Club Unicorn,161500,spotify:track:1fgKyWLJjGXJHzvFTauP7C,https://api.spotify.com/v1/tracks/1fgKyWLJjGXJHzvFTauP7C,0.686,0.306,0,-15.296,0,0.0545,0.994,0.924,0.112,0.503,119.988,audio_features,1fgKyWLJjGXJHzvFTauP7C,spotify:track:1fgKyWLJjGXJHzvFTauP7C,https://api.spotify.com/v1/tracks/1fgKyWLJjGXJHzvFTauP7C,https://api.spotify.com/v1/audio-analysis/1fgKyWLJjGXJHzvFTauP7C,161500,4,1
5,GHOST,Confetti,Jack Harlow,140996,spotify:track:70whMGrt6rwbkPlXGNtTBw,https://api.spotify.com/v1/tracks/70whMGrt6rwbkPlXGNtTBw,0.828,0.533,11,-6.067,1,0.166,0.000258,0.0,0.108,0.467,191.014,audio_features,70whMGrt6rwbkPlXGNtTBw,spotify:track:70whMGrt6rwbkPlXGNtTBw,https://api.spotify.com/v1/tracks/70whMGrt6rwbkPlXGNtTBw,https://api.spotify.com/v1/audio-analysis/70whMGrt6rwbkPlXGNtTBw,140996,4,0
6,Easy on Me,Blue,Brett Gray,202000,spotify:track:3wFH0adDgmp4aTvKQlME5i,https://api.spotify.com/v1/tracks/3wFH0adDgmp4aTvKQlME5i,0.413,0.469,5,-8.29,1,0.051,0.705,1.87e-05,0.118,0.142,153.864,audio_features,3wFH0adDgmp4aTvKQlME5i,spotify:track:3wFH0adDgmp4aTvKQlME5i,https://api.spotify.com/v1/tracks/3wFH0adDgmp4aTvKQlME5i,https://api.spotify.com/v1/audio-analysis/3wFH0adDgmp4aTvKQlME5i,202000,3,2
7,Enemy (Lofi hip hop),Enemy (Lofi hip hop),Chilled Almond,142110,spotify:track:5cbcowwEscAVicpfNA20iJ,https://api.spotify.com/v1/tracks/5cbcowwEscAVicpfNA20iJ,0.578,0.1,7,-26.367,1,0.0351,0.953,0.892,0.108,0.0661,77.015,audio_features,5cbcowwEscAVicpfNA20iJ,spotify:track:5cbcowwEscAVicpfNA20iJ,https://api.spotify.com/v1/tracks/5cbcowwEscAVicpfNA20iJ,https://api.spotify.com/v1/audio-analysis/5cbcowwEscAVicpfNA20iJ,142110,4,0
8,Money (That's What I Want) - Remastered 2009,The Beatles - Inspirations,The Beatles,169506,spotify:track:1XmtBkY0hRsq529Ru1eaxn,https://api.spotify.com/v1/tracks/1XmtBkY0hRsq529Ru1eaxn,0.546,0.853,11,-8.369,0,0.0394,0.425,0.0,0.266,0.923,128.814,audio_features,1XmtBkY0hRsq529Ru1eaxn,spotify:track:1XmtBkY0hRsq529Ru1eaxn,https://api.spotify.com/v1/tracks/1XmtBkY0hRsq529Ru1eaxn,https://api.spotify.com/v1/audio-analysis/1XmtBkY0hRsq529Ru1eaxn,169507,1,-1
9,Bad Habits - Acoustic,Bad Habits,Nerv,238681,spotify:track:4iiTgOU07in6LCm4WSYSrd,https://api.spotify.com/v1/tracks/4iiTgOU07in6LCm4WSYSrd,0.65,0.414,4,-6.117,0,0.0329,0.884,0.0,0.292,0.526,137.003,audio_features,4iiTgOU07in6LCm4WSYSrd,spotify:track:4iiTgOU07in6LCm4WSYSrd,https://api.spotify.com/v1/tracks/4iiTgOU07in6LCm4WSYSrd,https://api.spotify.com/v1/audio-analysis/4iiTgOU07in6LCm4WSYSrd,238682,4,1
10,Shivers,"Good Luck, Kid",JOSEPH,227933,spotify:track:00thPgmLw1MtgpJyKWOiXm,https://api.spotify.com/v1/tracks/00thPgmLw1MtgpJyKWOiXm,0.559,0.51,11,-8.106,0,0.0405,0.778,1.7e-05,0.107,0.215,117.995,audio_features,00thPgmLw1MtgpJyKWOiXm,spotify:track:00thPgmLw1MtgpJyKWOiXm,https://api.spotify.com/v1/tracks/00thPgmLw1MtgpJyKWOiXm,https://api.spotify.com/v1/audio-analysis/00thPgmLw1MtgpJyKWOiXm,227933,4,1
11,hope is a dangerous thing for a woman like me to have - but I have it,Norman Fucking Rockwell!,Lana Del Rey,324498,spotify:track:0fB77VOZ2FkQeKLv1DuEwp,https://api.spotify.com/v1/tracks/0fB77VOZ2FkQeKLv1DuEwp,0.49,0.104,4,-13.208,0,0.0635,0.964,0.0,0.162,0.278,86.675,audio_features,0fB77VOZ2FkQeKLv1DuEwp,spotify:track:0fB77VOZ2FkQeKLv1DuEwp,https://api.spotify.com/v1/tracks/0fB77VOZ2FkQeKLv1DuEwp,https://api.spotify.com/v1/audio-analysis/0fB77VOZ2FkQeKLv1DuEwp,324499,4,1
12,Cold Heart - PNAU Remix,Sex Life,Elton John,202735,spotify:track:1Nrf7gRdfIkN5M4nuZZhnM,https://api.spotify.com/v1/tracks/1Nrf7gRdfIkN5M4nuZZhnM,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,audio_features,1Nrf7gRdfIkN5M4nuZZhnM,spotify:track:1Nrf7gRdfIkN5M4nuZZhnM,https://api.spotify.com/v1/tracks/1Nrf7gRdfIkN5M4nuZZhnM,https://api.spotify.com/v1/audio-analysis/1Nrf7gRdfIkN5M4nuZZhnM,202735,4,0
13,Big Enigma Energy,What You Didn't Want to Happen Is Happening Right Now,No Lungs,234896,spotify:track:04udXPNPnDTsrMbQTJgUDv,https://api.spotify.com/v1/tracks/04udXPNPnDTsrMbQTJgUDv,0.385,0.851,0,-5.074,1,0.0491,5.94e-05,0.000495,0.509,0.858,134.14,audio_features,04udXPNPnDTsrMbQTJgUDv,spotify:track:04udXPNPnDTsrMbQTJgUDv,https://api.spotify.com/v1/tracks/04udXPNPnDTsrMbQTJgUDv,https://api.spotify.com/v1/audio-analysis/04udXPNPnDTsrMbQTJgUDv,234897,4,0
